candidate_id,fold,average_precision,pr_lift,roc_auc,fit_seconds,diagnostic_cutoff,precision_at_recall_floor,recall_at_recall_floor,false_positives_at_recall_floor,true_positives_at_recall_floor,false_negatives_at_recall_floor,true_negatives_at_recall_floor,alerts_at_recall_floor,alert_rate_at_recall_floor
V4-T1-12,3,0.31496822306737143,295.61667348669516,0.9849421492398835,41.94945200000075,0.8555804204963819,0.060791845176540106,0.8005836575875487,12715,823,205,951097,13538,0.014031341984163177
V4-T1-13,1,0.3228424890059248,164.53861792260193,0.9824420035894124,38.3563540999894,0.956650021597621,0.05164765525982256,0.800982800982801,5986,326,81,201037,6312,0.0304295424962638
V4-T1-13,2,0.24234853418439142,248.34292998746608,0.9797059292615249,43.34041399997659,0.6428304611850775,0.02147291678532779,0.8004246284501062,17180,377,94,464999,17557,0.03637625608619082
V4-T1-13,3,0.3073245079983889,288.44258589218435,0.9849168004994305,54.349652600008994,0.8500890742443342,0.05359119619717393,0.8005836575875487,14534,823,205,949278,15357,0.015916628663819907
V4-T1-14,1,0.40564162362958134,206.7376953058576,0.9839178037180191,42.18495809999877,0.8211177361015845,0.06431248767015191,0.800982800982801,4743,326,81,202280,5069,0.02443715952369474
V4-T1-14,2,0.31669314842649493,324.52642906167256,0.9736201273915291,50.70761889999267,0.27640938949680083,0.015608827060820602,0.8004246284501062,23776,377,94,458403,24153,0.05004247384232881
V4-T1-14,3,0.4367804436742743,409.9447891777109,0.9836376108376464,56.58182059999672,0.6089913904987713,0.046950767299903017,0.8005836575875487,16706,823,205,947106,17529,0.018167779113635422
V4-T1-15,1,0.3725209679674855,189.85755377271627,0.9844295511516061,48.41484500002116,0.7205677175432935,0.06844425782070124,0.800982800982801,4437,326,81,202586,4763,0.02296196307187967
V4-T1-15,2,0.2772277865748906,284.0849069859256,0.9760310335544223,50.5584630999947,0.09612453987997549,0.019269102990033222,0.8004246284501062,19188,377,94,462991,19565,0.04053662073966643
V4-T1-15,3,0.39745624760693815,373.03665947575695,0.9842705325171104,58.7851234000118,0.41470580700701803,0.04732332815824277,0.8005836575875487,16568,823,205,947244,17391,0.01802475021765267
V4-T1-16,1,0.41321627069877814,210.5981597814436,0.9826452831191437,37.97666799998842,0.7516944920805751,0.06316605309048634,0.800982800982801,4835,326,81,202188,5161,0.024880682639926724
V4-T1-16,2,0.3317600330332603,339.9659871411955,0.9743777527554288,32.7766161999898,0.20539302942659093,0.01531959852086635,0.8004246284501062,24232,377,94,457947,24609,0.050987257847301355
V4-T1-16,3,0.4271627899427789,400.9180410976564,0.9825605596049125,32.87727870000526,0.5395078705994066,0.03777308610244171,0.8005836575875487,20965,823,205,942847,21788,0.022581982504871274
V4-T1-17,1,0.3832882859901326,195.34518221850908,0.9842028377456808,34.10149369999999,0.720770044255457,0.06670759156947002,0.800982800982801,4561,326,81,202462,4887,0.023559755098105387
V4-T1-17,2,0.33875769479927575,347.1367333224425,0.9791356853058627,33.50444429999334,0.10461120596621236,0.024773294782494414,0.8004246284501062,14841,377,94,467338,15218,0.03153009427121102
V4-T1-17,3,0.4164143445780628,390.8299768703289,0.9842371932537468,36.337896100012586,0.44211272328465895,0.053083075335397314,0.8005836575875487,14681,823,205,949131,15504,0.0160689855312798
V4-T1-18,1,0.37039123611297586,188.77212311281224,0.9848761952537861,24.968014000012772,0.8652827103885545,0.06824366757379108,0.800982800982801,4451,326,81,202572,4777,0.023029455720001927
V4-T1-18,2,0.29831315446255285,305.6918131663506,0.9792363320034408,27.360858300002292,0.24579012063310807,0.020876017498200342,0.8004246284501062,17682,377,94,464497,18059,0.03741634724955972
V4-T1-18,3,0.39839659203660577,373.91922943638,0.9849581040442507,32.95800670000608,0.6812825590090698,0.06656960284720537,0.8005836575875487,11540,823,205,952272,12363,0.012813523485759298
V4-T1-19,1,0.3612855022288593,184.13133102538643,0.9835971174421492,17.416913499997463,0.9441515040831672,0.05592726025047178,0.800982800982801,5503,326,81,201520,5829,0.028101046136045894
V4-T1-19,2,0.25288731694478195,259.14238539999786,0.9794295234660346,19.697399399999995,0.5483443792973264,0.025628823929299795,0.8004246284501062,14333,377,94,467846,14710,0.03047757173935564
V4-T1-19,3,0.3610287330042686,338.84724003097125,0.9853500565022926,25.119648799998686,0.8146185610542613,0.0517089721035436,0.8005836575875487,15093,823,205,948719,15916,0.016495999336677582
V4-T1-20,1,0.34425787240115846,175.45309698322433,0.9836007253927002,15.777654399978928,0.9556138527243434,0.0586964350018005,0.800982800982801,5228,326,81,201795,5554,0.026775297690787254
V4-T1-20,2,0.2680277483230957,274.6573094015757,0.9785367037073374,20.96357039999566,0.5998420575994776,0.020601092896174865,0.8004246284501062,17923,377,94,464256,18300,0.0379156738837667
V4-T1-20,3,0.3424511324969066,321.411041515871,0.9849565971791873,21.155625599989435,0.8449079536953489,0.053065961699658264,0.8005836575875487,14686,823,205,949126,15509,0.016074167737655985
